state,x,y
Acre,-352.0,110.0
Alagoas,316.0,100.0
Amapa,16.0,318.0
Amazonas,-268.0,215.0
Bahia,195.0,47.0
Ceara,245.0,191.0
Espirito Santo,241.0,-99.0
Goias,41.0,-23.0
Maranhao,127.0,193.0
Mato Grosso,-87.0,37.0
Mato Grosso Do Sul,-55.0,-114.0
Minas Gerais,127.0,-73.0
Para,-26.0,200.0
Paraiba,305.0,151.0
Parana,3.0,-203.0
Pernambuco,280.0,128.0
Piaui,165.0,128.0
Rio De Janeiro,207.0,-150.0
Rio Grande Do Norte,315.0,181.0
Rio Grande Do Sul,-46.0,-306.0
Rondonia,-211.0,69.0
Roraima,-189.0,341.0
Santa Catarina,44.0,-254.0
Sao Paulo,58.0,-137.0
Sergipe,305.0,77.0
Tocantins,70.0,88.0
